id,clusterId,Date,connectionTime,Num. Rep.,disconnectTime,Time Diff,Session Length,Avg.Sess.,donechargingTime,kWhDelivered,Avg. Consump,sessionId,siteId,spaceID,stationID,timezone,userID,Precip Type,temperature,Avg. Humidity,Avg Wind Speed(mph),Wind Bearing(degrees),Visibility(km),Loud Cover,Pressure(millibar),Daily summary
5bc90cb9f9af8b0d7fe77cde,39,"Wed, 25 Apr 2018", 15:14:49 ,15.25, 23:52:50 GMT,08:38:01,8.63,5.614878049,"Wed, 25 Apr 2018 16:42:00 GMT",2.72,8.96,2_39_78_361_2018-04-25 15:14:48.537248,2,CA-493,2-39-78-361,America/Los_Angeles,,rain,24.37222222,34.846153,13.54,300,9.9015,0,1004.55,Mostly cloudy .
5bc90cb9f9af8b0d7fe77cdf,39,"Wed, 25 Apr 2018", 15:20:56 ,15.35, 23:49:32 GMT,08:28:36,8.48,5.604335664,"Wed, 25 Apr 2018 16:07:41 GMT",2.575,8.98,2_39_78_360_2018-04-25 15:20:55.688491,2,CA-322,2-39-78-360,America/Los_Angeles,,rain,24.37222222,34.846153,13.54,300,9.9015,0,1004.55,Mostly cloudy .
5bc90cb9f9af8b0d7fe77ce0,39,"Wed, 25 Apr 2018", 15:30:31 ,15.51, 19:47:51 GMT,04:17:20,4.29,5.594245614,"Wed, 25 Apr 2018 18:54:57 GMT",5.4,9.00,2_39_125_21_2018-04-25 15:30:31.466431,2,CA-311,2-39-125-21,America/Los_Angeles,,rain,24.37222222,34.846153,13.54,300,9.9015,0,1004.55,Mostly cloudy .
5bc90cb9f9af8b0d7fe77ce1,39,"Wed, 25 Apr 2018", 15:31:42 ,15.53, 00:57:15 GMT,09:25:33,9.43,5.598838028,"Wed, 25 Apr 2018 18:26:57 GMT",4.929,9.02,2_39_78_365_2018-04-25 15:31:42.314475,2,CA-321,2-39-78-365,America/Los_Angeles,,rain,24.37222222,34.846153,13.54,300,9.9015,0,1004.55,Mostly cloudy .
5bc90cb9f9af8b0d7fe77ce2,39,"Wed, 25 Apr 2018", 15:33:45 ,15.56, 00:42:15 GMT,09:08:30,9.14,5.585300353,"Wed, 25 Apr 2018 17:49:46 GMT",4.043,9.03,2_39_127_19_2018-04-25 15:33:45.414350,2,CA-309,2-39-127-19,America/Los_Angeles,,rain,24.37222222,34.846153,13.54,300,9.9015,0,1004.55,Mostly cloudy .
5bc90cb9f9af8b0d7fe77ce3,39,"Wed, 25 Apr 2018", 15:44:42 ,15.75, 00:41:45 GMT,08:57:03,8.95,5.572695035,"Wed, 25 Apr 2018 17:40:09 GMT",2.49,9.05,2_39_79_383_2018-04-25 15:44:41.818763,2,CA-492,2-39-79-383,America/Los_Angeles,,rain,24.37222222,34.846153,13.54,300,9.9015,0,1004.55,Mostly cloudy .
5bc90cb9f9af8b0d7fe77ce4,39,"Wed, 25 Apr 2018", 15:48:23 ,15.81, 00:32:18 GMT,08:43:55,8.73,5.560676157,"Wed, 25 Apr 2018 18:06:06 GMT",5.95,9.07,2_39_89_25_2018-04-25 15:48:22.693006,2,CA-315,2-39-89-25,America/Los_Angeles,,rain,24.37222222,34.846153,13.54,300,9.9015,0,1004.55,Mostly cloudy .
5bc90cb9f9af8b0d7fe77ce5,39,"Wed, 25 Apr 2018", 15:51:21 ,15.89, 00:32:44 GMT,08:41:23,8.69,5.549357143,"Wed, 25 Apr 2018 17:56:52 GMT",4.474,9.08,2_39_95_444_2018-04-25 15:51:20.521751,2,CA-497,2-39-95-444,America/Los_Angeles,,rain,24.37222222,34.846153,13.54,300,9.9015,0,1004.55,Mostly cloudy .
5bc90cb9f9af8b0d7fe77ce6,39,"Wed, 25 Apr 2018",15:53:29,15.89, 00:28:12 GMT,08:34:43,8.58,5.538100358,"Wed, 25 Apr 2018 19:55:15 GMT",6.531,9.10,2_39_124_22_2018-04-25 15:53:29.117069,2,CA-312,2-39-124-22,America/Los_Angeles,,rain,24.37222222,34.846153,13.54,300,9.9015,0,1004.55,Mostly cloudy .
5bc90cb9f9af8b0d7fe77ce7,39,"Wed, 25 Apr 2018", 15:57:29 ,15.97, 01:28:29 GMT,09:31:00,9.52,5.527158273,"Wed, 25 Apr 2018 18:23:12 GMT",6.023,9.11,2_39_89_439_2018-04-25 15:57:29.146101,2,CA-501,2-39-89-439,America/Los_Angeles,,rain,24.37222222,34.846153,13.54,300,9.9015,0,1004.55,Mostly cloudy .
5bc90cb9f9af8b0d7fe77ce8,39,"Wed, 25 Apr 2018", 15:59:24 ,15.99, 00:51:51 GMT,08:52:27,8.87,5.512743682,"Wed, 25 Apr 2018 18:27:10 GMT",9.553,9.12,2_39_92_442_2018-04-25 15:59:23.996834,2,CA-498,2-39-92-442,America/Los_Angeles,,rain,24.37222222,34.846153,13.54,300,9.9015,0,1004.55,Mostly cloudy .
5bc90cb9f9af8b0d7fe77ce9,39,"Wed, 25 Apr 2018", 16:01:26 ,16.02,00:33:06 GMT,08:31:40,8.53,5.50057971,"Thu, 26 Apr 2018 00:14:16 GMT",14.693,9.12,2_39_123_23_2018-04-25 16:01:25.950919,2,CA-313,2-39-123-23,America/Los_Angeles,,rain,24.37222222,34.846153,13.54,300,9.9015,0,1004.55,Mostly cloudy .
