id,clusterId,Date,connectionTime,disconnectTime,Time Diff,Total Hours,donechargingTime,kWhDelivered,sessionId,siteId,spaceID,stationID,timezone,userID,,userInput
5bc90cb9f9af8b0d7fe77cde,39,"Wed, 25 Apr 2018", 15:14:49 GMT, 23:52:50 GMT,08:38:01,8.63,"Wed, 25 Apr 2018 16:42:00 GMT",2.72,2_39_78_361_2018-04-25 15:14:48.537248,2,CA-493,2-39-78-361,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77cdf,39,"Wed, 25 Apr 2018", 15:20:56 GMT, 23:49:32 GMT,08:28:36,8.48,"Wed, 25 Apr 2018 16:07:41 GMT",2.575,2_39_78_360_2018-04-25 15:20:55.688491,2,CA-322,2-39-78-360,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77ce0,39,"Wed, 25 Apr 2018", 15:30:31 GMT, 19:47:51 GMT,04:17:20,4.29,"Wed, 25 Apr 2018 18:54:57 GMT",5.4,2_39_125_21_2018-04-25 15:30:31.466431,2,CA-311,2-39-125-21,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77ce1,39,"Wed, 25 Apr 2018", 15:31:42 GMT, 24:57:15 GMT,09:25:33,9.43,"Wed, 25 Apr 2018 18:26:57 GMT",4.929,2_39_78_365_2018-04-25 15:31:42.314475,2,CA-321,2-39-78-365,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77ce2,39,"Wed, 25 Apr 2018", 15:33:45 GMT, 24:42:15 GMT,09:08:30,9.14,"Wed, 25 Apr 2018 17:49:46 GMT",4.043,2_39_127_19_2018-04-25 15:33:45.414350,2,CA-309,2-39-127-19,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77ce3,39,"Wed, 25 Apr 2018", 15:44:42 GMT, 24:41:45 GMT,08:57:03,8.95,"Wed, 25 Apr 2018 17:40:09 GMT",2.49,2_39_79_383_2018-04-25 15:44:41.818763,2,CA-492,2-39-79-383,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77ce4,39,"Wed, 25 Apr 2018", 15:48:23 GMT, 24:32:18 GMT,08:43:55,8.73,"Wed, 25 Apr 2018 18:06:06 GMT",5.95,2_39_89_25_2018-04-25 15:48:22.693006,2,CA-315,2-39-89-25,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77ce5,39,"Wed, 25 Apr 2018", 15:51:21 GMT, 24:32:44 GMT,08:41:23,8.69,"Wed, 25 Apr 2018 17:56:52 GMT",4.474,2_39_95_444_2018-04-25 15:51:20.521751,2,CA-497,2-39-95-444,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77ce6,39,"Wed, 25 Apr 2018",15:53:29 GMT, 24:28:12 GMT,08:34:43,8.58,"Wed, 25 Apr 2018 19:55:15 GMT",6.531,2_39_124_22_2018-04-25 15:53:29.117069,2,CA-312,2-39-124-22,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77ce7,39,"Wed, 25 Apr 2018", 15:57:29 GMT, 25:28:29 GMT,09:31:00,9.52,"Wed, 25 Apr 2018 18:23:12 GMT",6.023,2_39_89_439_2018-04-25 15:57:29.146101,2,CA-501,2-39-89-439,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77ce8,39,"Wed, 25 Apr 2018", 15:59:24 GMT, 24:51:51 GMT,08:52:27,8.87,"Wed, 25 Apr 2018 18:27:10 GMT",9.553,2_39_92_442_2018-04-25 15:59:23.996834,2,CA-498,2-39-92-442,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77ce9,39,"Wed, 25 Apr 2018", 16:01:26 GMT,24:33:06 GMT,08:31:40,8.53,"Thu, 26 Apr 2018 00:14:16 GMT",14.693,2_39_123_23_2018-04-25 16:01:25.950919,2,CA-313,2-39-123-23,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77cea,39,"Wed, 25 Apr 2018", 16:02:03 GMT, 21:31:50 GMT,05:29:47,5.5,"Wed, 25 Apr 2018 17:14:25 GMT",2.207,2_39_90_440_2018-04-25 16:02:03.486354,2,CA-500,2-39-90-440,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77ceb,39,"Wed, 25 Apr 2018", 16:02:10 GMT, 19:27:55 GMT,03:25:45,3.43,"Wed, 25 Apr 2018 19:27:51 GMT",9.153,2_39_78_364_2018-04-25 16:02:09.867816,2,CA-495,2-39-78-364,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77cec,39,"Wed, 25 Apr 2018", 16:03:59 GMT,23:57:15 GMT,07:53:16,7.89,"Wed, 25 Apr 2018 22:19:58 GMT",17.446,2_39_88_24_2018-04-25 16:03:58.630483,2,CA-314,2-39-88-24,America/Los_Angeles,,,
